,sample_id,title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,taxid_ch1,characteristics_ch1,growth_protocol_ch1,molecule_ch1,extract_protocol_ch1,data_processing,platform_id,contact_name,contact_email,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,instrument_model,library_selection,library_source,library_strategy,relation,supplementary_file_1,series_id,data_row_count
0,GSM4231309,Day 45 Organoid,GSM4231309,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human embryonic cell line H7,Homo sapiens,9606,nomenclature: Organoid | tissue origin: In vitro | genome: hg19 | cellranger version: 3.0.2 | cellranger chemistry: Single cell 3` v2,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672646 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433708,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231309/suppl/GSM4231309_ORG_D45_filtered_feature_bc_matrix.tar.gz,GSE142526,0
11,GSM4231320,D82C Fetal,GSM4231320,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Fetal | tissue origin: In vivo | genome: GRCh38 | cellranger version: 1.3.0 | cellranger chemistry: Single cell 3` v1,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672659 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433719,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231320/suppl/GSM4231320_D82Cfetal_filtered_gene_bc_matrices.tar.gz,GSE142526,0
12,GSM4231321,D82P Fetal,GSM4231321,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Fetal | tissue origin: In vivo | genome: GRCh38 | cellranger version: 1.3.0 | cellranger chemistry: Single cell 3` v1,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672658 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433720,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231321/suppl/GSM4231321_D82Pfetal_filtered_gene_bc_matrices.tar.gz,GSE142526,0
13,GSM4231322,D105 Fetal,GSM4231322,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Fetal | tissue origin: In vivo | genome: hg19 | cellranger version: 3.0.2 | cellranger chemistry: Single cell 3` v3,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672657 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433721,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231322/suppl/GSM4231322_D105fetal_filtered_gene_bc_matrices.tar.gz,GSE142526,0
14,GSM4231323,D125C Fetal,GSM4231323,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Fetal | tissue origin: In vivo | genome: GRCh38 | cellranger version: 1.3.0 | cellranger chemistry: Single cell 3` v1,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672656 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433722,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231323/suppl/GSM4231323_D125Cfetal_filtered_gene_bc_matrices.tar.gz,GSE142526,0
15,GSM4231324,D125P Fetal,GSM4231324,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Fetal | tissue origin: In vivo | genome: GRCh38 | cellranger version: 1.3.0 | cellranger chemistry: Single cell 3` v1,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672655 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433723,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231324/suppl/GSM4231324_D125Pfetal_filtered_gene_bc_matrices.tar.gz,GSE142526,0
16,GSM4231325,RS D78+35,GSM4231325,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Retinosphere | tissue origin: In vitro | genome: GRCh38 | cellranger version: 2.1.1 | cellranger chemistry: Single cell 3` v2,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672654 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433724,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231325/suppl/GSM4231325_RSD78pl35_filtered_feature_bc_matrix.tar.gz,GSE142526,0
17,GSM4231326,RS D76_D109,GSM4231326,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Retinosphere | tissue origin: In vitro | genome: GRCh38 | cellranger version: 3.0.2 | cellranger chemistry: Single cell 3` v3,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672653 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433725,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231326/suppl/GSM4231326_RSD76pl33_filtered_feature_bc_matrix.tar.gz,GSE142526,0
18,GSM4231327,RS D91_D109,GSM4231327,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Retinosphere | tissue origin: In vitro | genome: GRCh38 | cellranger version: 3.0.2 | cellranger chemistry: Single cell 3` v3,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672652 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433726,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231327/suppl/GSM4231327_RSD91pl18_filtered_feature_bc_matrix.tar.gz,GSE142526,0
19,GSM4231328,RS D122+14_unsorted,GSM4231328,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Retinosphere | tissue origin: In vitro | genome: hg19 | cellranger version: 3.0.2 | cellranger chemistry: Single cell 3` v3,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672651 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433727,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231328/suppl/GSM4231328_RSD122pl14_filtered_feature_bc_matrix.tar.gz,GSE142526,0
20,GSM4231329,RS 134_160F,GSM4231329,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Retinosphere | tissue origin: In vitro | genome: GRCh38 | cellranger version: 2.1.1 | cellranger chemistry: Single cell 3` v2,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672650 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433728,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231329/suppl/GSM4231329_RSD134pl26FV_filtered_feature_bc_matrix.tar.gz,GSE142526,0
21,GSM4231330,RS 134_160NC,GSM4231330,Public on Jan 10 2020,Dec 23 2019,Jan 12 2020,SRA,1,Human Fetal Retina,Homo sapiens,9606,nomenclature: Retinosphere | tissue origin: In vitro | genome: GRCh38 | cellranger version: 2.1.1 | cellranger chemistry: Single cell 3` v2,ES cells were directed to generate retinal organoids using established protocols. Fetal retina was either processed immediated for single cell RNA eq or cultured as spheres in the same media conditions as organoids,total RNA,Cells were dissociated with papain and processed for 10x single cell rna seq analysis according to manufacturer's instructions | 10x libraries were prepared according to manufacturer's instructions.,"Base calling and sample were demultiplexing preformed by cellranger mkfastq (See Sample table for Cellranger version) | Sequences were alinged to genome and UMI counts were created using cellranger count (See Sample table for Cellranger version) | Downstream analysis was preformed in R (scripts avalible on Github at https://github.com/Reh-lab/Sridhar-Hoshino-Reh-2019) | Supplementary_files_format_and_content: Cellranger filtered output files, containing gene names, cellbarcodes, and expression matricies",GPL18573,"THOMAS,A,REH",tomreh@uw.edu,REHLAB,BIOLOGICAL STRUCTURE,UNIVERSITY OF WASHINGTON,1959 NE PACIFIC STREET,SEATTLE,WA,98195,USA,Illumina NextSeq 500,cDNA,transcriptomic,RNA-Seq,BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13672649 | SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7433729,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4231nnn/GSM4231330/suppl/GSM4231330_RSD134pl26NC_filtered_feature_bc_matrix.tar.gz,GSE142526,0
